tstamp,googl,intl,nvda
2017-04-25,0.011275073100246984,0.008423913043478323,0.017387081107333578
2017-04-26,3.375185635209425e-4,0.015359741309620057,-0.006874164598052309
2017-04-27,0.002586769237690429,-0.00371549893842889,0.015573928090751823
2017-04-28,0.03710849860899211,-0.0050612679808203975,-0.01268458917076868
2017-05-01,0.008977631635875987,0.012315930388219567,0.022435282837967436
2017-05-02,0.004577517634699065,0.01481089658820405,-0.029632408102025474
2017-05-03,0.012122634965691676,-0.017722178785509506,0.007441051410900618
2017-05-04,0.006610786019294619,-0.008224993366940705,-0.0038369304556355463
2017-05-05,-0.004650578179990002,-0.010433386837881234,9.62927298989419e-5
2017-05-08,0.00885002315107135,-0.003514463368478036,-0.010494896976699437
2017-05-09,-0.0020653182989287654,0.00732501356484002,0.001654179235185382
